STATE,YEAR,MONTH,TYPE,DAMAGE
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
SOUTH DAKOTA,2009,December,Blizzard,50.00K
SOUTH DAKOTA,2009,December,Blizzard,50.00K
SOUTH DAKOTA,2009,December,Blizzard,50.00K
SOUTH DAKOTA,2009,December,Blizzard,50.00K
WYOMING,2009,March,Blizzard,50.00K
SOUTH DAKOTA,2009,March,Blizzard,50.00K
SOUTH DAKOTA,2009,March,Blizzard,50.00K
SOUTH DAKOTA,2009,March,Blizzard,50.00K
KANSAS,2009,March,Blizzard,50.00K
KANSAS,2009,March,Blizzard,50.00K
KANSAS,2009,March,Blizzard,50.00K
NEBRASKA,2009,April,Blizzard,5.00K
OKLAHOMA,2009,March,Blizzard,450.00K
OKLAHOMA,2009,March,Blizzard,400.00K
SOUTH DAKOTA,2009,December,Blizzard,40.00K
SOUTH DAKOTA,2009,March,Blizzard,4.20M
SOUTH DAKOTA,2009,March,Blizzard,4.00M
SOUTH DAKOTA,2009,March,Blizzard,4.00M
NEBRASKA,2009,April,Blizzard,35.00K
SOUTH DAKOTA,2009,March,Blizzard,300.00K
KANSAS,2009,March,Blizzard,300.00K
SOUTH DAKOTA,2009,March,Blizzard,300.00K
WYOMING,2009,March,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
NEBRASKA,2009,April,Blizzard,30.00K
SOUTH DAKOTA,2009,March,Blizzard,3.00M
KANSAS,2009,March,Blizzard,250.00K
WYOMING,2009,March,Blizzard,250.00K
WYOMING,2009,March,Blizzard,250.00K
SOUTH DAKOTA,2009,March,Blizzard,250.00K
SOUTH DAKOTA,2009,March,Blizzard,250.00K
SOUTH DAKOTA,2009,December,Blizzard,25.00K
SOUTH DAKOTA,2009,December,Blizzard,25.00K
SOUTH DAKOTA,2009,December,Blizzard,25.00K
SOUTH DAKOTA,2009,December,Blizzard,25.00K
SOUTH DAKOTA,2009,December,Blizzard,25.00K
SOUTH DAKOTA,2009,December,Blizzard,25.00K
SOUTH DAKOTA,2009,March,Blizzard,25.00K
NEBRASKA,2009,April,Blizzard,25.00K
NEBRASKA,2009,April,Blizzard,25.00K
ALASKA,2009,February,Blizzard,200.00K
KANSAS,2009,March,Blizzard,200.00K
SOUTH DAKOTA,2009,March,Blizzard,200.00K
SOUTH DAKOTA,2009,March,Blizzard,200.00K
SOUTH DAKOTA,2009,March,Blizzard,200.00K
SOUTH DAKOTA,2009,March,Blizzard,200.00K
SOUTH DAKOTA,2009,March,Blizzard,200.00K
SOUTH DAKOTA,2009,December,Blizzard,20.00K
SOUTH DAKOTA,2009,December,Blizzard,20.00K
TEXAS,2009,December,Blizzard,20.00K
NEBRASKA,2009,April,Blizzard,20.00K
NEBRASKA,2009,April,Blizzard,20.00K
SOUTH DAKOTA,2009,March,Blizzard,2.50M
SOUTH DAKOTA,2009,March,Blizzard,2.50M
OKLAHOMA,2009,December,Blizzard,2.10M
OKLAHOMA,2009,March,Blizzard,15.00K
OKLAHOMA,2009,March,Blizzard,15.00K
NEBRASKA,2009,April,Blizzard,15.00K
WYOMING,2009,March,Blizzard,120.00K
MASSACHUSETTS,2009,December,Blizzard,100.00K
WYOMING,2009,March,Blizzard,100.00K
KANSAS,2009,March,Blizzard,100.00K
WYOMING,2009,March,Blizzard,100.00K
WYOMING,2009,March,Blizzard,100.00K
KANSAS,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,March,Blizzard,100.00K
SOUTH DAKOTA,2009,December,Blizzard,10.00K
SOUTH DAKOTA,2009,December,Blizzard,10.00K
WYOMING,2009,December,Blizzard,10.00K
SOUTH DAKOTA,2009,March,Blizzard,10.00K
OKLAHOMA,2009,March,Blizzard,10.00K
KANSAS,2009,March,Blizzard,1.50M
OKLAHOMA,2009,March,Blizzard,1.50M
MONTANA,2009,March,Blizzard,1.50M
ALASKA,2009,November,Blizzard,1.00K
NORTH DAKOTA,2010,January,Blizzard,972.00K
NORTH DAKOTA,2010,January,Blizzard,93.00K
NORTH DAKOTA,2010,January,Blizzard,894.00K
NORTH DAKOTA,2010,January,Blizzard,79.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,January,Blizzard,75.00K
IOWA,2010,December,Blizzard,75.00K
NORTH DAKOTA,2010,January,Blizzard,71.00K
NORTH DAKOTA,2010,January,Blizzard,588.00K
NEW JERSEY,2010,February,Blizzard,500.00K
NEW JERSEY,2010,February,Blizzard,50.00M
NEW JERSEY,2010,February,Blizzard,50.00M
IOWA,2010,January,Blizzard,40.00K
IOWA,2010,January,Blizzard,40.00K
IOWA,2010,January,Blizzard,40.00K
NORTH DAKOTA,2010,January,Blizzard,4.70M
NORTH DAKOTA,2010,January,Blizzard,385.00K
IOWA,2010,December,Blizzard,33.50K
NORTH DAKOTA,2010,January,Blizzard,321.00K
NORTH DAKOTA,2010,January,Blizzard,30.00K
IDAHO,2010,November,Blizzard,3.00K
IDAHO,2010,November,Blizzard,25.00K
NORTH DAKOTA,2010,January,Blizzard,23.00K
NORTH DAKOTA,2010,January,Blizzard,2.30M
NORTH DAKOTA,2010,January,Blizzard,2.00M
NORTH DAKOTA,2010,January,Blizzard,2.00M
MONTANA,2010,January,Blizzard,2.00K
IOWA,2010,December,Blizzard,2.00K
IOWA,2010,December,Blizzard,150.00K
NORTH DAKOTA,2010,January,Blizzard,129.00K
NORTH DAKOTA,2010,January,Blizzard,123.00K
NORTH DAKOTA,2010,January,Blizzard,11.00K
NORTH DAKOTA,2010,January,Blizzard,1.80M
IOWA,2010,December,Blizzard,1.50K
NORTH DAKOTA,2010,January,Blizzard,1.30M
NORTH DAKOTA,2010,January,Blizzard,1.20M
NORTH DAKOTA,2010,January,Blizzard,1.10M
ILLINOIS,2011,February,Blizzard,90.00K
ILLINOIS,2011,February,Blizzard,80.00K
ILLINOIS,2011,February,Blizzard,80.00K
ILLINOIS,2011,February,Blizzard,750.00K
ILLINOIS,2011,February,Blizzard,75.00K
ILLINOIS,2011,February,Blizzard,75.00K
MISSOURI,2011,February,Blizzard,60.00K
ILLINOIS,2011,February,Blizzard,500.00K
NORTH DAKOTA,2011,April,Blizzard,500.00K
NORTH DAKOTA,2011,April,Blizzard,500.00K
NORTH DAKOTA,2011,April,Blizzard,500.00K
NORTH DAKOTA,2011,April,Blizzard,500.00K
NORTH DAKOTA,2011,April,Blizzard,500.00K
NORTH DAKOTA,2011,April,Blizzard,500.00K
ILLINOIS,2011,February,Blizzard,50.00K
KANSAS,2011,April,Blizzard,437.00K
ILLINOIS,2011,February,Blizzard,400.00K
MISSOURI,2011,February,Blizzard,40.00K
NEBRASKA,2011,April,Blizzard,40.00K
ILLINOIS,2011,February,Blizzard,350.00K
NORTH DAKOTA,2011,April,Blizzard,35.00K
ILLINOIS,2011,February,Blizzard,300.00K
OKLAHOMA,2011,February,Blizzard,30.00M
NEW MEXICO,2011,December,Blizzard,3.00K
ILLINOIS,2011,February,Blizzard,260.00K
ILLINOIS,2011,February,Blizzard,250.00K
MISSOURI,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
IOWA,2011,February,Blizzard,25.00K
WISCONSIN,2011,February,Blizzard,24.00K
ILLINOIS,2011,February,Blizzard,220.00K
ILLINOIS,2011,February,Blizzard,21.00K
ILLINOIS,2011,February,Blizzard,200.00K
ILLINOIS,2011,February,Blizzard,200.00K
ILLINOIS,2011,February,Blizzard,200.00K
WISCONSIN,2011,February,Blizzard,20.00K
NEBRASKA,2011,April,Blizzard,160.00K
MISSOURI,2011,February,Blizzard,15.00K
INDIANA,2011,February,Blizzard,100.00K
ILLINOIS,2011,February,Blizzard,100.00K
ILLINOIS,2011,February,Blizzard,100.00K
OKLAHOMA,2011,February,Blizzard,100.00K
OKLAHOMA,2011,February,Blizzard,100.00K
ILLINOIS,2011,February,Blizzard,100.00K
NORTH DAKOTA,2011,April,Blizzard,100.00K
NORTH DAKOTA,2011,April,Blizzard,100.00K
NORTH DAKOTA,2011,April,Blizzard,100.00K
NORTH DAKOTA,2011,April,Blizzard,100.00K
WISCONSIN,2011,February,Blizzard,10.00K
WISCONSIN,2011,February,Blizzard,10.00K
ALASKA,2006,February,Blizzard,8K
IOWA,2006,November,Blizzard,70.00K
IOWA,2006,November,Blizzard,70.00K
IOWA,2006,November,Blizzard,70.00K
IOWA,2006,November,Blizzard,70.00K
IOWA,2006,November,Blizzard,70.00K
IOWA,2006,November,Blizzard,70.00K
IOWA,2006,November,Blizzard,70.00K
NORTH DAKOTA,2006,December,Blizzard,70.00K
CONNECTICUT,2006,January,Blizzard,5K
IOWA,2006,March,Blizzard,5K
ARIZONA,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
NEW YORK,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
IOWA,2006,March,Blizzard,5K
MASSACHUSETTS,2006,January,Blizzard,50K
VIRGINIA,2006,February,Blizzard,50K
WASHINGTON,2006,November,Blizzard,500.00K
WASHINGTON,2006,November,Blizzard,500.00K
WASHINGTON,2006,November,Blizzard,500.00K
MISSOURI,2006,November,Blizzard,5.00K
MICHIGAN,2006,October,Blizzard,5.00K
ALASKA,2006,March,Blizzard,4K
ALASKA,2006,March,Blizzard,4K
ALASKA,2006,January,Blizzard,40K
MARYLAND,2006,February,Blizzard,40K
MARYLAND,2006,February,Blizzard,40K
NORTH DAKOTA,2006,December,Blizzard,40.00K
WASHINGTON,2006,November,Blizzard,4.00M
ALASKA,2006,January,Blizzard,30K
ALASKA,2006,February,Blizzard,2K
ALASKA,2006,March,Blizzard,2K
ALASKA,2006,March,Blizzard,2K
MICHIGAN,2006,May,Blizzard,2K
DISTRICT OF COLUMBIA,2006,February,Blizzard,25K
ALASKA,2006,January,Blizzard,20K
MASSACHUSETTS,2006,January,Blizzard,20K
NEW YORK,2006,January,Blizzard,20K
NEW YORK,2006,January,Blizzard,20K
NEW YORK,2006,January,Blizzard,20K
NEW YORK,2006,January,Blizzard,20K
NEW YORK,2006,January,Blizzard,20K
NEW YORK,2006,February,Blizzard,20K
NEW YORK,2006,February,Blizzard,20K
NEW YORK,2006,February,Blizzard,20K
MASSACHUSETTS,2006,January,Blizzard,20K
ALASKA,2006,January,Blizzard,20K
VIRGINIA,2006,February,Blizzard,200K
WASHINGTON,2006,November,Blizzard,2.00M
ALASKA,2006,March,Blizzard,1K
ALASKA,2006,March,Blizzard,1K
ALASKA,2006,March,Blizzard,1K
MICHIGAN,2006,May,Blizzard,1K
CONNECTICUT,2006,January,Blizzard,15K
NEW YORK,2006,February,Blizzard,15K
NEW YORK,2006,February,Blizzard,15K
NEW YORK,2006,February,Blizzard,15K
NEW YORK,2006,February,Blizzard,15K
MARYLAND,2006,February,Blizzard,150K
PENNSYLVANIA,2006,January,Blizzard,150K
PENNSYLVANIA,2006,January,Blizzard,150K
NEVADA,2006,December,Blizzard,15.00K
ALASKA,2006,February,Blizzard,12K
MASSACHUSETTS,2006,January,Blizzard,10K
NEW YORK,2006,January,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
NEW YORK,2006,February,Blizzard,10K
ALASKA,2006,January,Blizzard,10K
NEW YORK,2006,March,Blizzard,10K
TEXAS,2006,November,Blizzard,10.00K
WASHINGTON,2006,November,Blizzard,1.50M
TEXAS,2006,November,Blizzard,1.00M
WASHINGTON,2006,November,Blizzard,1.00M
WASHINGTON,2006,November,Blizzard,1.00M
WASHINGTON,2006,November,Blizzard,1.00M
WASHINGTON,2006,November,Blizzard,1.00M
MISSOURI,2006,November,Blizzard,1.00K
OHIO,2007,February,Blizzard,80.00K
OKLAHOMA,2007,December,Blizzard,8.00K
NEW YORK,2007,April,Blizzard,8.00K
IDAHO,2007,October,Blizzard,75.00K
TEXAS,2007,December,Blizzard,75.00K
VERMONT,2007,February,Blizzard,75.00K
VERMONT,2007,February,Blizzard,75.00K
VERMONT,2007,February,Blizzard,75.00K
MASSACHUSETTS,2007,December,Blizzard,7.50K
MONTANA,2007,June,Blizzard,6.00K
OKLAHOMA,2007,December,Blizzard,6.00K
VERMONT,2007,February,Blizzard,50.00K
VERMONT,2007,February,Blizzard,50.00K
PENNSYLVANIA,2007,March,Blizzard,50.00K
PENNSYLVANIA,2007,March,Blizzard,50.00K
PENNSYLVANIA,2007,March,Blizzard,50.00K
WASHINGTON,2007,February,Blizzard,5.00K
VERMONT,2007,December,Blizzard,5.00K
OKLAHOMA,2007,December,Blizzard,5.00K
NEW YORK,2007,February,Blizzard,5.00K
WASHINGTON,2007,January,Blizzard,5.00K
WASHINGTON,2007,January,Blizzard,5.00K
WASHINGTON,2007,January,Blizzard,5.00K
WASHINGTON,2007,January,Blizzard,5.00K
WASHINGTON,2007,January,Blizzard,5.00K
WASHINGTON,2007,January,Blizzard,5.00K
NORTH DAKOTA,2007,March,Blizzard,40.00K
OKLAHOMA,2007,December,Blizzard,4.00K
NEW YORK,2007,February,Blizzard,35.00K
VERMONT,2007,February,Blizzard,300.00K
VERMONT,2007,February,Blizzard,300.00K
KANSAS,2007,January,Blizzard,30.00K
NEW YORK,2007,February,Blizzard,30.00K
NEW YORK,2007,February,Blizzard,3.00K
VERMONT,2007,February,Blizzard,250.00K
IDAHO,2007,October,Blizzard,25.00K
NEW YORK,2007,February,Blizzard,25.00K
WASHINGTON,2007,January,Blizzard,25.00K
NEW YORK,2007,February,Blizzard,25.00K
NEW YORK,2007,February,Blizzard,25.00K
VERMONT,2007,February,Blizzard,200.00K
VERMONT,2007,February,Blizzard,200.00K
VERMONT,2007,February,Blizzard,200.00K
VERMONT,2007,February,Blizzard,200.00K
VERMONT,2007,February,Blizzard,200.00K
VERMONT,2007,February,Blizzard,200.00K
NEW HAMPSHIRE,2007,April,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
NEW YORK,2007,February,Blizzard,20.00K
